run_name,cfg,Total money_made,Total distance driven,Average profit,Customers served,Customers cancelled,Waiting time,Average free time,Highest earning taxi id,Highest earning taxi per hour,Lowest earning taxi id,Lowest earning taxi per hour
,"cr=closest, ms=batching, bl=0.01",14318.841764174253,5977.420882087126,139.61018710379602,780,0,594.9449831426658,2.4807591939611084,94,116.78871582993897,89,0.0
,"cr=closest, ms=batching, bl=0.05",13367.539333903389,5570.7696669516945,133.18897174470717,732,0,654.9829041297887,2.9140268011644967,3,37.54598916550399,92,0.0
,"cr=closest, ms=batching, bl=0.1",14238.818670024964,5877.409335012482,165.35869370914523,816,0,1364.672438764862,2.2200611375477237,77,47.445786554106405,79,0.0
,"cr=closest, ms=batching, bl=0.2",13600.544112571224,5666.272056285611,124.67289701314097,744,0,513.8121236490648,3.245406157120237,99,47.31385665167964,100,0.0
,"cr=shortest, ms=None, bl=None",12291.681300357615,9764.881239140257,111.16887153257588,684,0,1371.741654795744,0.13017859713736304,88,39.42702931433406,93,0.0
,"cr=longest, ms=None, bl=None",11391.82402594996,8822.184458154294,123.4280401835783,497,0,1214.144730485134,0.09647455793926427,75,39.364375239113635,77,0.0
,"cr=closest, ms=None, bl=None",14330.18310696455,8545.165942028638,145.07068871906705,764,0,1024.3019976760697,0.16567282505145897,87,72.66657539910906,85,0.0
,"cr=closest, ms=allow_rellocation, bl=None",25945.236965343625,101759.5661239288,54.83650726037138,734,0,0,3.079457192942602,24,79.8226532040501,102,0.0
,"cr=closest, ms=batching, bl=0.01",14334.211089255237,6015.105544627617,147.54146045314278,750,0,690.6166287931293,2.4861081296125054,88,136.769049391163,89,0.0
,"cr=closest, ms=batching, bl=0.05",13653.396517634943,5716.698258817471,139.00063184301607,727,0,492.2108181513461,2.6006636547136344,2,34.91289830065547,89,0.0
,"cr=closest, ms=batching, bl=0.1",13471.432490191568,5618.216245095782,148.76854507436633,737,0,585.8667361831108,2.521203761005778,17,34.88646756314301,83,0.0
,"cr=closest, ms=batching, bl=0.2",13178.593154684997,5489.796577342499,118.43758665898531,724,0,893.4857047174132,2.481699949687682,101,51.45712528645445,78,0.0
,"cr=shortest, ms=None, bl=None",12929.289422038624,10350.56431608172,120.65751732024758,698,0,938.4717077844929,0.1376007088098957,89,71.87165699642928,87,0.0
